Mod:Item:MetaData, Localized Name
ic2:itemmisc:552, Re-Enriched Blaze Uranium Cell
ic2:itemmisc:553, Re-Enriched EnderPearl Uranium Cell
ic2:itemmisc:554, Re-Enriched NetherStar Uranium Cell
ic2:itemmisc:555, Re-Enriched Charcoal Uranium Cell
ic2:itemtfbpbase:0, TFBP - Mushroom
ic2:itemtfbpbase:1, TFBP - Cultivation
ic2:itemtfbpbase:2, TFBP - Irrigation
ic2:itemtfbpbase:3, TFBP - Chilling
ic2:itemtfbpbase:4, TFBP - Desertification
ic2:itemtfbpbase:5, TFBP - Flatification
ic2:itemtfbpbase:20, TFBP Biome - Cultivation
ic2:itemtfbpbase:21, TFBP Biome - Desertification
ic2:itemtfbpbase:22, TFBP Biome - Forestification
ic2:itemtfbpbase:23, TFBP Biome - Irrigation
ic2:itemtfbpbase:24, TFBP Biome - Mushroom
ic2:itemtfbpbase:25, TFBP Biome - Undergrowth
ic2:itemtfbpbase:26, TFBP Biome - Chilling
ic2:itemcable:0, Uninsulated Copper Cable
ic2:itemcable:1, Copper Cable
ic2:itemcable:2, Gold Cable
ic2:itemcable:3, Insulated Gold Cable
ic2:itemcable:4, 2xIns. Gold Cable
ic2:itemcable:5, HV Cable
ic2:itemcable:6, Insulated HV Cable
ic2:itemcable:7, 2xIns. HV Cable
ic2:itemcable:8, 4xIns. HV Cable
ic2:itemcable:9, Glass Fibre Cable
ic2:itemcable:10, Ultra-Low-Current Cable
ic2:itemcable:11, EU-Detector Cable
ic2:itemcable:12, EU-Splitter Cable
ic2:itemcable:13, Bronze Cable
ic2:itemcable:14, Insulated Bronze Cable
ic2:itemcable:15, 2xIns. Bronze Cable
ic2:itemcable:16, Plasma Cable
ic2:itemtincanfilled:0, (Filled) Tin Can
ic2:itemtincanfilled:1, (Filled) Tin Can
ic2:itemtincanfilled:2, (Filled) Tin Can
ic2:itemtincanfilled:3, (Filled) Tin Can
ic2:itemtincanfilled:4, (Filled) Tin Can
ic2:itemtincanfilled:5, (Filled) Tin Can
ic2:itemtincanfilled:6, (Filled) Tin Can
ic2:itemcellempty:0, Empty Cell
ic2:itemcellempty:1, Water Cell
ic2:itemcellempty:2, Lava Cell
ic2:itemcellempty:3, Wood Gas Cell
ic2:itemfuelcans:0, (Empty) Fuel Can
ic2:itemtoolbox:0, Tool Box
ic2:itemtoolbox:2, Nano Tool Box
ic2:itemtoolbox:4, Quantum Tool Box
ic2:itemic2boats:0, Carbon Boat
ic2:itemic2boats:1, Rubber Boat
ic2:itemic2boats:2, Rubber Boat Broken
ic2:itemic2boats:3, Electric Boat
ic2:itemcoins:0, Industrial Credit
ic2:itemcoins:1, Industrial Credit
ic2:itemcoins:2, Industrial Credit
ic2:itemcoins:3, Industrial Credit
ic2:itemcoins:4, Industrial Credit
ic2:itemcoins:5, Industrial Credit
ic2:itemtoolbronzepickaxe, Bronze Pickaxe
ic2:itemtoolbronzeaxe, Bronze Axe
ic2:itemtoolbronzespade, Bronze Shovel
ic2:itemtoolbronzesword, Bronze Sword
ic2:itemtoolbronzehoe, Bronze Hoe
ic2:itemtoolwrench, Wrench
ic2:itemtreetap, Treetap
ic2:itemtoolcutter, Insulation Cutter
ic2:itemfoamsprayer, CF Sprayer
ic2:itempainters:0, Black Painter
ic2:itempainters:0, Red Painter
ic2:itempainters:0, Green Painter
ic2:itempainters:0, Brown Painter
ic2:itempainters:0, Blue Painter
ic2:itempainters:0, Purple Painter
ic2:itempainters:0, Cyan Painter
ic2:itempainters:0, Light Grey Painter
ic2:itempainters:0, Dark Grey Painter
ic2:itempainters:0, Pink Painter
ic2:itempainters:0, Lime Painter
ic2:itempainters:0, Yellow Painter
ic2:itempainters:0, Light Blue Painter
ic2:itempainters:0, Magenta Painter
ic2:itempainters:0, Orange Painter
ic2:itempainters:0, White Painter
ic2:itemdynamites:0, Dynamite
ic2:itemdynamites:1, Sticky Dynamite
ic2:itemremote, Dynamite-O-Mote
ic2:itemfreq, Frequency Transmitter
ic2:itemtoolmeter, EU-Reader
ic2:itemdebug, Debug Item
ic2:itemmachinetool, Machine Tool
ic2:itemthermometer, Thermometer
ic2:itemmemorystick, Memory Stick
ic2:itemcrop, Crop Sticks
ic2:itembarrel:0, Empty Booze Barrel
ic2:itemweedex, Weed-EX
ic2:itemterrawart, Terra Wart
ic2:itemcellhydrant, Hydration Cell
ic2:itemcropseed:0, Wheat Crop Seed
ic2:itemcropseed:0, Pumpkin Crop Seed
ic2:itemcropseed:0, Melon Crop Seed
ic2:itemcropseed:0, Dandelion Crop Seed
ic2:itemcropseed:0, Poppy Crop Seed
ic2:itemcropseed:0, Blackthorn Crop Seed
ic2:itemcropseed:0, Tulip Crop Seed
ic2:itemcropseed:0, Cyazint Crop Seed
ic2:itemcropseed:0, Daisy Crop Seed
ic2:itemcropseed:0, Venomilia Crop Seed
ic2:itemcropseed:0, Rainbow Flower Crop Seed
ic2:itemcropseed:0, Reed Crop Seed
ic2:itemcropseed:0, Stickreed Crop Seed
ic2:itemcropseed:0, Cocoa Crop Seed
ic2:itemcropseed:0, Ferru Crop Seed
ic2:itemcropseed:0, Malachite Crop Seed
ic2:itemcropseed:0, Stannum Crop Seed
ic2:itemcropseed:0, Aurelia Crop Seed
ic2:itemcropseed:0, Argentum Crop Seed
ic2:itemcropseed:0, Lumilia Crop Seed
ic2:itemcropseed:0, Redwheat Crop Seed
ic2:itemcropseed:0, Watery Wheat Crop Seed
ic2:itemcropseed:0, Nether Wart Crop Seed
ic2:itemcropseed:0, Terra Wart Crop Seed
ic2:itemcropseed:0, GlowShroom Crop Seed
ic2:itemcropseed:0, Coffee Crop Seed
ic2:itemcropseed:0, Hops Crop Seed
ic2:itemcropseed:0, Carrots Crop Seed
ic2:itemcropseed:0, Potato Crop Seed
ic2:itemcropseed:0, Red Mushroom Crop Seed
ic2:itemcropseed:0, Brown Mushroom Crop Seed
ic2:itemcropseed:0, Cacti Crop Seed
ic2:itemcropseed:0, Tea Crop Seed
ic2:itemcropseed:0, Hemp Crop Seed
ic2:itemcropseed:0, Beet Roots Crop Seed
ic2:itemcropseed:0, Oak Sapling Crop Seed
ic2:itemcropseed:0, Spruce Sapling Crop Seed
ic2:itemcropseed:0, Birch Sapling Crop Seed
ic2:itemcropseed:0, Jungle Sapling Crop Seed
ic2:itemcropseed:0, Acacia Sapling Crop Seed
ic2:itemcropseed:0, Dark Oak Sapling Crop Seed
ic2:itemcropanalyzer, Cropnalyzer
ic2:coffee:0, Dark Coffee
ic2:coffee:1, Dark Coffee
ic2:coffee:2, Coffee
ic2:itemteas:0, Cold Tea
ic2:itemteas:1, Black Tea
ic2:itemteas:2, Tea
ic2:itemteas:3, Iced Tea
ic2:itemupgradecontainer, Upgrade Container
ic2:ic2upgrades:0, Overclocker Upgrade
ic2:ic2upgrades:1, Transformer Upgrade
ic2:ic2upgrades:2, Energy Storage Upgrade
ic2:ic2upgrades:3, Redstone Sensitivity Upgrade
ic2:ic2upgrades:4, Redstone Inverter Upgrade
ic2:ic2upgrades:5, Basic Import Upgrade
ic2:ic2upgrades:6, Import Upgrade
ic2:ic2upgrades:7, Basic Export Upgrade
ic2:ic2upgrades:8, Export Upgrade
ic2:ic2upgrades:9, Muffler Upgrade
ic2:ic2upgrades:10, Mute Upgrade
ic2:ic2upgrades:11, Exp Collector Upgrade
ic2:ic2upgrades:12, Efficency Upgrade
ic2:ic2upgrades:13, Energy Storage Multiplier Upgrade
ic2:ic2upgrades:14, Loudness Upgrade
ic2:ic2upgrades:15, RoundRobin Export Upgrade
ic2:ic2upgrades:16, Slowness Upgrade
ic2:ic2upgrades:17, Filtered Basic Import Upgrade
ic2:ic2upgrades:18, Filtered Import Upgrade
ic2:ic2upgrades:19, Filtered Basic Export Upgrade
ic2:ic2upgrades:20, Filtered Export Upgrade
ic2:ic2upgrades:21, Basic Fluid Import Upgrade
ic2:ic2upgrades:22, Fluid Import Upgrade
ic2:ic2upgrades:23, Basic Fluid Export Upgrade
ic2:ic2upgrades:24, Fluid Export Upgrade
ic2:ic2upgrades:25, Filtered Basic Fluid Import Upgrade
ic2:ic2upgrades:26, Filtered Fluid Import Upgrade
ic2:ic2upgrades:27, Filtered Basic Fluid Export Upgrade
ic2:ic2upgrades:28, Filtered Fluid Export Upgrade
ic2:ic2upgrades:29, Reactor Track Upgrade
ic2:ic2upgrades:30, CobbleGen Upgrade
ic2:ic2upgrades:31, Crafting Upgrade
ic2:ic2upgrades:32, Quantum Overclocker Upgrade
ic2:ic2upgrades:33, Efficient Sawblade Upgrade
ic2:ic2upgrades:34, Durable Sawblade Upgrade
ic2:ic2upgrades:3000, Creative Upgrade
ic2:itemchargepadupgrade:0, Crystalizor Upgrade Kit
ic2:itemchargepadupgrade:1, MFS Unit Upgrade Kit
ic2:itemchargepadupgrade:2, Lapotronic Upgrade Kit
ic2:itemchargepadupgrade:3, Fission Upgrade Kit
ic2:itemchargepadupgrade:4, Damage Conversion Module
ic2:itemchargepadupgrade:5, Drain Conversion Module
ic2:itemchargepadupgrade:6, Proximity Booster Module
ic2:itemchargepadupgrade:7, Wide-Band Booster Module
ic2:itemchargepadupgrade:8, Armour Priority Module
ic2:itemchargepadupgrade:9, Basic Field Expansion Module
ic2:itemchargepadupgrade:10, Field Expansion Module
ic2:itemchargepadupgrade:11, Advanced Field Expansion Module
ic2:inventoryupgrades:0, Automation Upgrade
ic2:inventoryupgrades:1, Machine Access Upgrade
ic2:inventoryupgrades:2, Rotation Disabler Upgrade
ic2:inventoryupgrades:3, SlotType Upgrade
ic2:inventoryupgrades:4, Slot Access Upgrade
ic2:inventoryupgrades:5, Slot Side Upgrade
ic2:inventoryupgrades:6, Redstone Deconductor Upgrade
ic2:inventoryupgrades:7, Slot Diversity Upgrade
ic2:inventoryupgrades:8, Stack Diversity Upgrade
ic2:inventoryupgrades:9, Item Limiter Upgrade
ic2:inventoryupgrades:10, Stack Limiter Upgrade
ic2:itembatsu, Single-Use Battery
ic2:itembatre:0, RE-Battery
ic2:itembatre:0, RE-Battery
ic2:itembatcrystal, Energy Crystal
ic2:itembatlamacrystal, Lapotron Crystal
ic2:itempesd, PESD
ic2:quantumaccumulator, Quantum Accumulator
ic2:bigquantumaccumulator, Big Quantum Accumulator
ic2:itemdrills:0, Mining Drill
ic2:itemdrills:0, Mining Drill
ic2:itemdrills:1, Diamond Drill
ic2:itemdrills:1, Diamond Drill
ic2:itemtoolchainsaw, Chainsaw
ic2:itemtoolhoe, Electric Hoe
ic2:itemtreetapelectric, Electric Treetap
ic2:electricsprayer, Electric Sprayer
ic2:itemtoolwrenchelectric, Electric Wrench
ic2:precisionwrench, Precision Wrench
ic2:itemobscurator, Obscurator
ic2:itemmetascanners:0, OD Scanner
ic2:itemmetascanners:0, OD Scanner
ic2:itemmetascanners:1, OV Scanner
ic2:itemmetascanners:1, OV Scanner
ic2:itemmetascanners:2, Ranged OD Scanner
ic2:itemmetascanners:2, Ranged OD Scanner
ic2:itemmetascanners:3, Ranged OV Scanner
ic2:itemmetascanners:3, Ranged OV Scanner
ic2:itemmetascanners:4, Big Ranged OD Scanner
ic2:itemmetascanners:4, Big Ranged OD Scanner
ic2:itemmetascanners:5, Big Ranged OV Scanner
ic2:itemmetascanners:5, Big Ranged OV Scanner
ic2:itemmetascanners:6, Low OVD Scanner
ic2:itemmetascanners:6, Low OVD Scanner
ic2:itemmetascanners:7, Medium OVD Scanner
ic2:itemmetascanners:7, Medium OVD Scanner
ic2:itemmetascanners:8, High OVD Scanner
ic2:itemmetascanners:8, High OVD Scanner
ic2:itemmetascanners:9, Adjustable OVD Scanner
ic2:itemmetascanners:9, Adjustable OVD Scanner
ic2:itemmetascanners:10, Quarry Scanner
ic2:itemmetascanners:10, Quarry Scanner
ic2:itemmetascanners:11, Fluid Scanner
ic2:itemmetascanners:11, Fluid Scanner
ic2:itemmetascanners:12, Filtered Fluid Scanner
ic2:itemmetascanners:12, Filtered Fluid Scanner
ic2:itemmetascanners:13, Filtered Scanner
ic2:itemmetascanners:13, Filtered Scanner
ic2:itemnanosabers:0, Nano Saber
ic2:itemnanosabers:0, Nano Saber
ic2:itemtoolmininglaser, Mining Laser
ic2:itemmowingtool, Mowing Tool
ic2:itemportableteleporter, Portable Teleporter
ic2:itemarmorbronzehelmet, Bronze Helmet
ic2:itemarmorbronzechestplate, Bronze Chestplate
ic2:itemarmorbronzelegs, Bronze Leggings
ic2:itemarmorbronzeboots, Bronze Boots
ic2:itemarmoralloyboots, Composite Boots
ic2:itemarmoralloyleggings, Composite Pants
ic2:itemarmoralloychestplate, Composite Vest
ic2:itemarmoralloyhelmet, Composite Helmet
ic2:itemarmorrubboots, Rubber Boots
ic2:itemarmorhazmatleggings, Hazmat Suit Leggings
ic2:itemarmorhazmatchestplate, Hazmat Suit
ic2:itemarmorhazmathelmet, Scuba Helmet
ic2:bronzeshield, Bronze Shield
ic2:platedshield, Plated Shield
ic2:nanoshield, Nano Shield
ic2:itemarmorcfpack, CF Backpack
ic2:itemarmorjetpack, Jetpack
ic2:itemstaticboots, Static Boots
ic2:itemnightvisiongoggles, Nightvision Goggles
ic2:itemsolarhelmets:0, Solar Helmet
ic2:itemsolarhelmets:1, Advanced Solar Helmet
ic2:itemarmorbatpack, BatPack
ic2:itemarmorlappack, Lappack
ic2:itemarmorquantumpack, Quantum Pack
ic2:itemarmorindustrialbelt, Industrial Belt
ic2:itemarmorjetpackelectric, Electric Jetpack
ic2:itemarmorjetpacknuclear, Nuclear Jetpack
ic2:itemarmorcombinedjetpack, Compacted Jetpack
ic2:itemarmornuclearcombindedjetpack, Compacted Nuclear Jetpack
ic2:itemarmornanoboots, NanoSuit Boots
ic2:itemarmornanolegs, NanoSuit Leggings
ic2:itemarmornanochestplate, NanoSuit Bodyarmor
ic2:itemarmornanohelmet, NanoSuit Helmet
ic2:itemarmorquantumboots, QuantumSuit Boots
ic2:itemarmorquantumlegs, QuantumSuit Leggings
ic2:itemarmorquantumchestplate, QuantumSuit Bodyarmor
ic2:itemarmorquantumhelmet, QuantumSuit Helmet
ic2:itemquantumarmorjetpack, QuantumSuit BodyJetplate
ic2:itemquantumarmornuclearjetplate, Nuclear QuantumSuit BodyJetplate
ic2:itemreactorrods:0, Uranium Cell
ic2:itemreactorrods:3, Redstone Enriched Uranium Cell
ic2:itemreactorrods:6, Blaze Enriched Uranium Cell
ic2:itemreactorrods:9, EnderPearl Enriched Uranium Cell
ic2:itemreactorrods:12, NetherStar Enriched Uranium Cell
ic2:itemreactorrods:15, Charcoal Enriched Uranium Cell
ic2:itemreactorrods:1, Dual Uranium Cell
ic2:itemreactorrods:4, Redstone Enriched Dual Uranium Cell
ic2:itemreactorrods:7, Blaze Enriched Dual Uranium Cell
ic2:itemreactorrods:10, EnderPearl Enriched Dual Uranium Cell
ic2:itemreactorrods:13, NetherStar Enriched Dual Uranium Cell
ic2:itemreactorrods:16, Charcoal Enriched Dual Uranium Cell
ic2:itemreactorrods:2, Quad Uranium Cell
ic2:itemreactorrods:5, Redstone Enriched Quad Uranium Cell
ic2:itemreactorrods:8, Blaze Enriched Quad Uranium Cell
ic2:itemreactorrods:11, EnderPearl Enriched Quad Uranium Cell
ic2:itemreactorrods:14, NetherStar Enriched Quad Uranium Cell
ic2:itemreactorrods:17, Charcoal Enriched Quad Uranium Cell
ic2:itemdepletedrods:0, Depleted Isotope Cell
ic2:itemdepletedrods:1, Depleted Redstone Isotope Cell
ic2:itemdepletedrods:2, Depleted Blaze Isotope Cell
ic2:itemdepletedrods:3, Depleted EnderPearl Isotope Cell
ic2:itemdepletedrods:4, Depleted NetherStar Isotope Cell
ic2:itemdepletedrods:5, Depleted Charcoal Isotope Cell
ic2:itemreactorplating:0, Reactor Plating
ic2:itemreactorplating:1, Heat-Capacity Reactor Plating
ic2:itemreactorplating:2, Containment Reactor Plating
ic2:itemheatstorage:0, 10k Coolant Cell
ic2:itemheatstorage:1, 30k Coolant Cell
ic2:itemheatstorage:2, 60k Coolant Cell
ic2:itemheatvent:0, Heat Vent
ic2:itemheatvent:1, Reactor Heat Vent
ic2:itemheatvent:2, Overclocked Heat Vent
ic2:itemheatvent:3, Advanced Heat Vent
ic2:itemheatvent:10, Steam Vent
ic2:itemheatvent:11, Reactor Steam Vent
ic2:itemheatvent:12, Overclocked Steam Vent
ic2:itemheatvent:13, Advanced Steam Vent
ic2:itemheatvent:20, Electric Heat Vent
ic2:itemheatvent:21, Electric Reactor Heat Vent
ic2:itemheatvent:22, Electric Overclocked Heat Vent
ic2:itemheatvent:23, Electric Advanced Heat Vent
ic2:itemheatswtiches:0, Heat Exchanger
ic2:itemheatswtiches:1, Reactor Heat Exchanger
ic2:itemheatswtiches:2, Component Heat Exchanger
ic2:itemheatswtiches:3, Advanced Heat Exchanger
ic2:itemcondensators:0, RSH-Condensator
ic2:itemcondensators:1, LZH-Condensator
ic2:reactorheatpack, Heating Cell
ic2:itemreflectors:0, Neutron Reflector
ic2:itemreflectors:1, Thick Neutron Reflector
ic2:itemreflectors:2, Iridium Neutron Reflector
ic2:reactorventspread, Component Heat Vent
ic2:iteminactivefuelcell, Inactive Fuel Cell
ic2:itemnouse:0, No Use
ic2:tile.water, Water
ic2:tile.lava, Lava
advancedsolars:advancedsolarpanel, Advanced Solar Panel
advancedsolars:hybridsolarpanel, Hybrid Solar Panel
advancedsolars:ultimatesolarpanel, Ultimate Hybrid Solar Panel
advancedsolars:sunnarium, Sunnarium
advancedsolars:sunnariumalloy, Sunnarium Alloy
advancedsolars:irradianturanium, Irradiant Uranium
advancedsolars:enrichedsunnarium, Enriched Sunnarium
advancedsolars:enrichedsunnariumalloy, Enriched Sunnarium Alloy
advancedsolars:irradiantglasspane, Irradiant Glass Pane
advancedsolars:iridiumironplate, Iridium Iron Plate
advancedsolars:reinforcediridiumironplate, Reinforced Iridium Iron Plate
advancedsolars:irradiantreinforcedplate, Irradiant Reinforced Plate
advancedsolars:sunnariumpart, Sunnarium Part
advancedsolars:iridiumingot, Iridium Ingot
advancedsolars:advancedsolarhelmet, Advanced Solar Helmet
advancedsolars:hybridsolarhelmet, Hybrid Solar Helmet
advancedsolars:ultimatehybridsolarhelmet, Ultimate Hybrid Solar Helmet
aenetvistool:net_visualizer, Network Visualization Tool
avaritia:resource:0, Diamond Lattice
avaritia:resource:1, Crystal Matrix Ingot
avaritia:resource:2, Pile of Neutrons
avaritia:resource:3, Neutronium Nugget
avaritia:resource:4, Neutronium Ingot
avaritia:resource:5, Infinity Catalyst
avaritia:resource:6, Infinity Ingot
avaritia:resource:7, Record Fragment
avaritia:singularity:0, Iron Singularity
avaritia:singularity:1, Golden Singularity
avaritia:singularity:2, Lapis Singularity
avaritia:singularity:3, Redstone Singularity
avaritia:singularity:4, Nether Quartz Singularity
avaritia:singularity:5, Copper Singularity
avaritia:singularity:6, Tin Singularity
avaritia:singularity:7, Lead Singularity
avaritia:singularity:8, Silver Singularity
avaritia:singularity:9, Nickel Singularity
avaritia:singularity:10, Diamond Singularity
avaritia:singularity:11, Emerald Singularity
avaritia:singularity:12, Fluxed Singularity
avaritia:singularity:13, Platinum Singularity
avaritia:singularity:14, Iridium Singularity
avaritia:infinity_sword, Sword of the Cosmos
avaritia:infinity_bow, Longbow of the Heavens
avaritia:infinity_pickaxe, World Breaker
avaritia:infinity_shovel, Planet Eater
avaritia:infinity_axe, Nature's Ruin
avaritia:infinity_hoe, Hoe of the Green Earth
avaritia:infinity_helmet, Infinity Helmet
avaritia:infinity_chestplate, Infinity Breastplate
avaritia:infinity_pants, Infinity Leggings
avaritia:infinity_boots, Infinity Boots
avaritia:skullfire_sword, Skullfire Sword
avaritia:endest_pearl, Endest Pearl
avaritia:ultimate_stew, Ultimate Stew
avaritia:cosmic_meatballs, Cosmic Meatballs
avaritia:matter_cluster, Matter Cluster
avaritia:compressed_crafting_table, Compressed Crafting Table
avaritia:double_compressed_crafting_table, Double Compressed Crafting Table
avaritia:extreme_crafting_table, Extreme Crafting Table
avaritia:block_resource:0, Neutronium Block
avaritia:block_resource:1, Infinity Block
avaritia:block_resource:2, Crystal Matrix
avaritia:neutron_collector, Neutron Collector
avaritia:neutronium_compressor, Neutronium Compressor
bloodarsenal:bloodarsenal.molten_blood_infused_iron, Molten Blood Infused Iron
hammercore:iron_bordered_cobblestone, Iron-Bordered Cobblestone
hammercore:gold_bordered_cobblestone, Gold-Bordered Cobblestone
hammercore:diamond_bordered_cobblestone, Diamond-Bordered Cobblestone
hammercore:emerald_bordered_cobblestone, Emerald-Bordered Cobblestone
hammercore:quartz_bordered_cobblestone, Quartz-Bordered Cobblestone
hammercore:manual, Hammer Core Manual
botanicadds:mana_tesseract, Mana Tesseract
botanicadds:terra_catalyst, Terra Catalyst
botanicadds:dreamrock, Dreamrock
botanicadds:mana_lapis_block, Mana Lapis Block
botanicadds:elven_lapis_block, Elven Lapis Block
botanicadds:elvenwood_log, Elvenwood Log
botanicadds:elven_altar, Elven Altar
botanicadds:pool_dreaming, Dreaming Mana Pool
botanicadds:gaia_plate, Gaia Agglomeration Plate
botanicadds:gaiasteel_block, Gaiasteel Block
botanicadds:rune_tp, Rune of Teleportation
botanicadds:rune_energy, Rune of Energy
botanicadds:mana_lapis, Mana Lapis
botanicadds:elven_lapis, Elven Lapis
botanicadds:gaia_shard, Gaia Shard
botanicadds:gaiasteel_ingot, Gaiasteel Ingot
botanicadds:terra_protector, Terra Protector
botanicadds:ring_aura_gaia, Gaia Band of Aura
botanicadds:mana_stealer_sword, Mana Stealing Blade
denseneutroncollectors:compressed_neutron_collector, Dense Neutron Collector
denseneutroncollectors:double_compressed_neutron_collector, Denser Neutron Collector
denseneutroncollectors:triple_compressed_neutron_collector, Densest Neutron Collector
draconicadditions:chaos_heart, Corrupted Dragon Heart
draconicadditions:chaotic_energy_core, Chaotic Energy Core
draconicadditions:chaos_stabilizer_core, Chaos Stabilizer Core
draconicadditions:armor_generator, Armor Generator
draconicadditions:chaotic_armor_generator, Chaotic Armor Generator
draconicadditions:item_drainer, Item Drainer
draconicadditions:chaos_liquefier, Chaos Liquefier
draconicadditions:capacitor_supplier, Capacitor Supplier
draconicadditions:chaotic_staff_of_power, Chaotic Staff of Power
draconicadditions:chaotic_bow, Chaotic Bow
draconicadditions:chaos_container, Chaos Container
draconicadditions:portable_wired_charger:0, Portable Wired Basic Charger
draconicadditions:portable_wired_charger:1, Portable Wired Wyvern Charger
draconicadditions:portable_wired_charger:2, Portable Wired Draconic Charger
draconicadditions:portable_wired_charger:3, Portable Wired Chaotic Charger
draconicadditions:portable_wired_discharger:0, Portable Wired Basic Discharger
draconicadditions:portable_wired_discharger:1, Portable Wired Wyvern Discharger
draconicadditions:portable_wired_discharger:2, Portable Wired Draconic Discharger
draconicadditions:portable_wired_discharger:3, Portable Wired Chaotic Discharger
draconicadditions:chaotic_helm, Chaotic Helmet
draconicadditions:chaotic_chest, Chaotic Chestplate
draconicadditions:chaotic_legs, Chaotic Leggings
draconicadditions:chaotic_boots, Chaotic Boots
draconicadditions:basic_shield_necklace, Basic Necklace of Shielding
draconicadditions:wyvern_shield_necklace, Wyvern Necklace of Shielding
draconicadditions:draconic_shield_necklace, Draconic Necklace of Shielding
draconicadditions:overload_belt, Draconic Belt of Overloading
draconicadditions:vampiric_shirt, Draconic Undershirt of Self-Siphoning
draconicadditions:inertia_cancel_ring, Ring of Inertia Cancellation
draconicadditions:chaos_crystal_stable, Semi-Stable Chaos Crystal
forestry:fertilizer_bio, Compost
forestry:fertilizer_compound, Fertilizer
forestry:apatite, Apatite
forestry:research_note, %s's Notes
forestry:portable_alyzer, Portable Analyzer
forestry:ingot_copper, Copper Ingot
forestry:ingot_tin, Tin Ingot
forestry:ingot_bronze, Bronze Ingot
forestry:wrench, Wrench
forestry:pipette, Pipette
forestry:sturdy_machine, Sturdy Casing
forestry:hardened_machine, Hardened Casing
forestry:impregnated_casing, Impregnated Casing
forestry:flexible_casing, Flexible Casing
forestry:crafting_material:0, Pulsating Dust
forestry:crafting_material:1, Pulsating Mesh
forestry:crafting_material:2, Silk Wisp
forestry:crafting_material:3, Woven Silk
forestry:crafting_material:4, Dissipation Charge
forestry:crafting_material:5, Ice Shard
forestry:crafting_material:6, Scented Paneling
forestry:crafting_material:7, Camouflaged Paneling
forestry:naturalist_helmet, Spectacles
forestry:peat, Peat
forestry:ash, Ash
forestry:bituminous_peat, Bituminous Peat
forestry:gear_bronze, Bronze Gear
forestry:gear_copper, Copper Gear
forestry:gear_tin, Tin Gear
forestry:chipsets:0, Basic Circuit Board
forestry:chipsets:1, Enhanced Circuit Board
forestry:chipsets:2, Refined Circuit Board
forestry:chipsets:3, Intricate Circuit Board
forestry:soldering_iron, Soldering Iron
forestry:carton, Carton
forestry:oak_stick, Impregnated Stick
forestry:wood_pulp, Wood Pulp
forestry:broken_bronze_pickaxe, Broken Pickaxe
forestry:broken_bronze_shovel, Broken Shovel
forestry:bronze_pickaxe, Survivalist's Pickaxe
forestry:bronze_shovel, Survivalist's Shovel
forestry:kit_shovel, Shovel Kit
forestry:kit_pickaxe, Pickaxe Kit
forestry:mouldy_wheat, Mouldy Wheat
forestry:decaying_wheat, Decaying Wheat
forestry:mulch, Mulch
forestry:iodine_capsule, Iodine Capsule
forestry:phosphor, Phosphor
forestry:beeswax, Beeswax
forestry:refractory_wax, Refractory Wax
forestry:fruits:0, Cherry
forestry:fruits:1, Walnut
forestry:fruits:2, Chestnut
forestry:fruits:3, Lemon
forestry:fruits:4, Plum
forestry:fruits:5, Date
forestry:fruits:6, Papaya
forestry:analyzer:0, Analyzer
forestry:escritoire:0, Escritoire
forestry:bog_earth:0, Bog Earth
forestry:humus:0, Humus
forestry:resources:0, Apatite Ore
forestry:resources:1, Copper Ore
forestry:resources:2, Tin Ore
forestry:resource_storage:0, Block of Apatite
forestry:resource_storage:1, Block of Copper
forestry:resource_storage:2, Block of Tin
forestry:resource_storage:3, Block of Bronze
forestry:ash_brick:0, Ash Bricks
forestry:ash_stairs:0, Ash Brick Stairs
forestry:engine_peat:0, Peat-fired Engine
forestry:engine_biogas:0, Biogas Engine
forestry:engine_clockwork:0, Clockwork Engine
forestry:worktable:0, Worktable
forestry:fluid.bio.ethanol, Ethanol
forestry:fluid.biomass, Biomass
forestry:fluid.glass, Liquid Glass
forestry:fluid.for.honey, Honey
forestry:fluid.ice, Crushed Ice
forestry:fluid.juice, Fruit Juice
forestry:fluid.milk, Milk
forestry:fluid.seed.oil, Seed Oil
forestry:fluid.short.mead, Short Mead
forestry:can, item.for.can.name
forestry:capsule, item.for.capsule.name
forestry:refractory, item.for.refractory.name
forestry:charcoal:0, Block of Charcoal
forestry:wood_pile:0, Wood Pile
forestry:wood_pile_decorative:0, Decorative Wood Pile
forestry:ash_block_0:0, Ash Block
forestry:ash_block_1:0, Ash Block
forestry:ash_block_2:0, Ash Block
forestry:ash_block_3:0, Ash Block
forestry:loam:0, Loam
forestry:habitat_former:0, Habitat Former
forestry:habitat_screen, Habitat Screen
forestry:habitat_locator, Habitat Locator
forestry:imprinter, Imprinter
forestry:cart.beehouse:0, Minecart with Bee House
forestry:cart.beehouse:1, Minecart with Apiary
forestry:frame_untreated, Untreated Frame
forestry:frame_impregnated, Impregnated Frame
forestry:frame_proven, Proven Frame
forestry:honey_drop:0, Honey Drop
forestry:pollen:0, Pollen Cluster
forestry:pollen:1, Crystalline Pollen Cluster
forestry:propolis:0, Propolis
forestry:propolis:1, Sticky Propolis
forestry:propolis:3, Silky Propolis
forestry:honeydew, Honeydew
forestry:royal_jelly, Royal Jelly
forestry:wax_cast, Wax Cast
forestry:bee_combs:0, Honey Comb
forestry:bee_combs:2, Simmering Comb
forestry:bee_combs:3, Stringy Comb
forestry:bee_combs:4, Frozen Comb
